Session;Start;End;timezone;Topic
Session 1.1;2020-09-19 16:00;2020-09-19 16:15;GMT+0;Opening Speech
Session 1.2;2020-09-19 16:15;2020-09-19 16:45;GMT+0;Team Introduction
Coffee Break;2020-09-19 16:45;2020-09-19 17:00;GMT+0;Socializing
Session 1.3;2020-09-19 17:00;2020-09-19 17:15;GMT+0;Introduction to Zoom
Session 1.4;2020-09-19 17:15;2020-09-19 17:30;GMT+0;Introduction to Facebook Workplace
Session 1.5;2020-09-19 17:30;2020-09-19 17:45;GMT+0;Questions
Session 1.6;2020-09-19 17:45;2020-09-19 18:30;GMT+0;Socializing
Session 2.1;2020-09-26 16:00;2020-09-26 16:30;GMT+0;Insights into Negotiation Strategies
Session 2.2;2020-09-26 16:30;2020-09-26 16:45;GMT+0;Questions
Coffee Break;2020-09-26 16:45;2020-09-26 17:00;GMT+0;Socializing
Session 2.3;2020-09-26 17:00;2020-09-26 17:30;GMT+0;Insights into Negotiation Experiences from Politics and Business
Session 2.4;2020-09-26 17:30;2020-09-26 17:45;GMT+0;Questions
Coffee Break;2020-09-26 17:45;2020-09-26 18:00;GMT+0;Socializing
Session 2.5;2020-09-26 18:00;2020-09-26 19:00;GMT+0;"NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations"
Session 3.1;2020-10-03 16:00;2020-10-03 16:30;GMT+0;Insights into Intelligence Gathering
Session 3.2;2020-10-03 16:30;2020-10-03 16:45;GMT+0;Questions
Coffee Break;2020-10-03 16:45;2020-10-03 17:00;GMT+0;Socializing
Session 3.3;2020-10-03 17:00;2020-10-03 17:30;GMT+0;Input on NATO policy
Session 3.4;2020-10-03 17:30;2020-10-03 18:00;GMT+0;Questions
Session 4.1;2020-10-10 16:00;2020-10-10 16:30;GMT+0;Public Opening Statements by the Heads of State
Session 4.2;2020-10-10 16:30;2020-10-10 17:45;GMT+0;"NATO: Negotiations; Activists: Influencing"
Coffee Break;2020-10-10 17:45;2020-10-10 18:00;GMT+0;Socializing
Session 4.3;2020-10-10 18:00;2020-10-10 19:30;GMT+0;"NATO: Negotiations; Activists: Influencing"
Meal Break;2020-10-10 19:30;2020-10-10 20:30;GMT+0;-
Session 4.4;2020-10-10 20:30;2020-10-10 21:45;GMT+0;"NATO: Negotiations; Activists: Influencing"
Session 4.5;2020-10-10 21:45;2020-10-10 22:00;GMT+0;Press Conference
Session 5.1;2020-10-11 16:00;2020-10-11 17:15;GMT+0;"NATO: Negotiations; Activists: Influencing"
Coffee Break;2020-10-11 17:15;2020-10-11 17:30;GMT+0;Socializing
Session 5.2;2020-10-11 17:30;2020-10-11 19:00;GMT+0;"NATO: Negotiations; Activists: Influencing"
Meal Break;2020-10-11 19:00;2020-10-11 20:00;GMT+0;-
Session 5.3;2020-10-11 20:00;2020-10-11 21:15;GMT+0;"NATO: Negotiations; Activists: Influencing"
Session 5.4;2020-10-11 21:15;2020-10-11 21:45;GMT+0;Press Conference
Closing Ceremony;2020-10-11 21:45;2020-10-11 22:00;GMT+0;Final Statement / Socializing
;;;;
;;;;
;;;;
;;;;
