"Session","Topic","Day","Month","Weekday","Time","timezone"
"Session 1.1","Opening Speech","19","9","Saturday","14:00 - 14:15","Africa/Abidjan"
"Session 1.2","Team Introduction","19","9","Saturday","14:15 - 14:45","Africa/Abidjan"
"Coffee Break","Socializing","19","9","Saturday","14:45 - 15:00","Africa/Abidjan"
"Session 1.3","Introduction to Zoom","19","9","Saturday","15:00 - 15:15","Africa/Abidjan"
"Session 1.4","Introduction to Facebook Workplace","19","9","Saturday","15:15 - 15:30","Africa/Abidjan"
"Session 1.5","Questions","19","9","Saturday","15:30 - 15:45","Africa/Abidjan"
"Session 1.6","Socializing","19","9","Saturday","15:45 - 16:30","Africa/Abidjan"
"Session 2.1","Insights into Negotiation Strategies","26","9","Saturday","14:00 - 14:30","Africa/Abidjan"
"Session 2.2","Questions","26","9","Saturday","14:30 - 14:45","Africa/Abidjan"
"Coffee Break","Socializing","26","9","Saturday","14:45 - 15:00","Africa/Abidjan"
"Session 2.3","Insights into Negotiation Experiences from Politics and Business","26","9","Saturday","15:00 - 15:30","Africa/Abidjan"
"Session 2.4","Questions","26","9","Saturday","15:30 - 15:45","Africa/Abidjan"
"Coffee Break","Socializing","26","9","Saturday","15:45 - 16:00","Africa/Abidjan"
"Session 2.5","NATO: Insights into the rules of procedure; Activists: Insights into influencing negotiations","26","9","Saturday","16:00 - 17:00","Africa/Abidjan"
"Session 3.1","Insights into Intelligence Gathering","3","10","Saturday","14:00 - 14:30","Africa/Abidjan"
"Session 3.2","Questions","3","10","Saturday","14:30 - 14:45","Africa/Abidjan"
"Coffee Break","Socializing","3","10","Saturday","14:45 - 15:00","Africa/Abidjan"
"Session 3.3","Input on NATO policy","3","10","Saturday","15:00 - 15:30","Africa/Abidjan"
"Session 3.4","Questions","3","10","Saturday","15:30 - 16:00","Africa/Abidjan"
"Session 4.1","Public Opening Statements by the Heads of State","10","10","Saturday","14:00 - 14:30","Africa/Abidjan"
"Session 4.2","NATO: Negotiations; Activists: Influencing","10","10","Saturday","14:30 - 15:45","Africa/Abidjan"
"Coffee Break","Socializing","10","10","Saturday","15:45 - 16:00","Africa/Abidjan"
