TEAM,GP,W,L,WIN%,PTS,FGM,3PM,FTM,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
MilwaukeeBucks,82,60,22,0.732,9686,3555,1105,1471,4078,2136,1137,615,486,395,1608,1653,727
GoldenStateWarriors,82,57,25,0.695,9650,3612,1087,1339,3787,2413,1169,625,525,295,1757,1601,530
NewOrleansPelicans,82,33,49,0.402,9466,3581,842,1462,3878,2216,1215,610,441,445,1732,1722,-109
Philadelphia76ers,82,51,31,0.622,9445,3407,889,1742,3917,2207,1223,606,432,336,1745,1816,221
LAClippers,82,48,34,0.585,9442,3384,821,1853,3732,1970,1193,561,385,498,1913,1969,70
PortlandTrailBlazers,82,53,29,0.6459999999999999,9402,3470,904,1558,3935,1887,1135,546,413,420,1669,1699,344
OklahomaCityThunder,82,49,33,0.598,9387,3497,932,1461,3942,1917,1145,766,425,415,1839,1844,279
TorontoRaptors,82,58,24,0.7070000000000001,9384,3460,1015,1449,3706,2085,1150,680,437,368,1724,1683,499
SacramentoKings,82,39,43,0.47600000000000003,9363,3541,927,1354,3725,2083,1095,679,363,420,1751,1753,-92
WashingtonWizards,82,32,50,0.39,9350,3456,930,1508,3473,2154,1154,683,379,378,1701,1741,-238
HoustonRockets,82,53,29,0.6459999999999999,9341,3218,1323,1582,3449,1741,1094,700,405,369,1803,1640,391
AtlantaHawks,82,29,53,0.354,9294,3392,1067,1443,3780,2118,1397,675,419,448,1932,1817,-494
MinnesotaTimberwolves,82,36,46,0.439,9223,3413,827,1570,3673,2018,1074,683,411,455,1664,1795,-123
BostonCeltics,82,49,33,0.598,9216,3451,1032,1282,3653,2155,1052,706,435,317,1670,1602,364
BrooklynNets,82,42,40,0.512,9204,3301,1047,1555,3819,1954,1236,539,339,432,1763,1807,-6
LosAngelesLakers,82,37,45,0.451,9165,3491,847,1336,3820,2096,1284,618,440,421,1701,1706,-141
UtahJazz,82,50,32,0.61,9161,3314,993,1540,3801,2133,1240,663,483,376,1728,1835,431
SanAntonioSpurs,82,48,34,0.585,9156,3468,812,1408,3667,2013,992,501,386,332,1487,1611,138
CharlotteHornets,82,39,43,0.47600000000000003,9081,3297,977,1510,3592,1905,1001,591,405,492,1550,1686,-90
DenverNuggets,82,54,28,0.659,9075,3439,903,1294,3804,2245,1102,634,363,407,1644,1675,324
DallasMavericks,82,33,49,0.402,8927,3182,1022,1541,3716,1918,1167,533,351,368,1650,1905,-105
IndianaPacers,82,48,34,0.585,8857,3390,779,1298,3528,2128,1122,713,404,425,1594,1642,273
PhoenixSuns,82,19,63,0.23199999999999998,8815,3289,790,1447,3311,1957,1279,735,418,411,1932,1694,-766
OrlandoMagic,82,42,40,0.512,8800,3316,937,1231,3724,2095,1082,543,445,362,1526,1537,58
DetroitPistons,82,41,41,0.5,8778,3185,993,1415,3688,1845,1135,569,331,419,1811,1748,-20
MiamiHeat,82,39,43,0.47600000000000003,8668,3251,928,1238,3800,1991,1208,627,448,389,1712,1652,-19
ChicagoBulls,82,22,60,0.268,8605,3266,745,1328,3517,1796,1159,603,351,473,1663,1534,-690
NewYorkKnicks,82,17,65,0.207,8575,3134,823,1484,3668,1646,1151,557,422,458,1713,1708,-755
ClevelandCavaliers,82,19,63,0.23199999999999998,8567,3189,847,1342,3498,1698,1106,534,195,459,1642,1592,-788
MemphisGrizzlies,82,33,49,0.402,8490,3113,811,1453,3426,1963,1147,684,448,402,1801,1758,-213
